Title,Source,File_path,IMDb_id
"""die hard""",walker,../data/walker2015_scene_diag/dialogs/Action/diehard_dialog.txt,0095016
"""dragonslayer""",walker,../data/walker2015_scene_diag/dialogs/Action/dragonslayer_dialog.txt,0082288
drive,walker,../data/walker2015_scene_diag/dialogs/Action/drive_dialog.txt,0780504
drive angry,walker,../data/walker2015_scene_diag/dialogs/Action/driveangry_dialog.txt,1502404
dune,walker,../data/walker2015_scene_diag/dialogs/Action/dune_dialog.txt,0087182
(eight legged freaks),walker,../data/walker2015_scene_diag/dialogs/Action/eightleggedfreaks_dialog.txt,0271367
enemy of the state,walker,../data/walker2015_scene_diag/dialogs/Action/enemyofthestate_dialog.txt,0120660
entrapment,walker,../data/walker2015_scene_diag/dialogs/Action/entrapment_dialog.txt,
face/off,walker,../data/walker2015_scene_diag/dialogs/Action/faceoff_dialog.txt,0119094
fair game,walker,../data/walker2015_scene_diag/dialogs/Action/fairgame_dialog.txt,0977855
fantastic four,walker,../data/walker2015_scene_diag/dialogs/Action/fantasticfour_dialog.txt,0120667
feast,walker,../data/walker2015_scene_diag/dialogs/Action/feast_dialog.txt,0426459
the fifth element,walker,../data/walker2015_scene_diag/dialogs/Action/fifthelementthe_dialog.txt,0119116
fight club,walker,../data/walker2015_scene_diag/dialogs/Action/fightclub_dialog.txt,0137523
flash gordon,walker,../data/walker2015_scene_diag/dialogs/Action/flashgordon_dialog.txt,0080745
the french connection,walker,../data/walker2015_scene_diag/dialogs/Action/frenchconnectionthe_dialog.txt,0067116
from dusk till dawn,walker,../data/walker2015_scene_diag/dialogs/Action/fromdusktilldawn_dialog.txt,0116367
the fugitive,walker,../data/walker2015_scene_diag/dialogs/Action/fugitivethe_dialog.txt,0106977
gamer,walker,../data/walker2015_scene_diag/dialogs/Action/gamer_dialog.txt,1034032
the getaway,walker,../data/walker2015_scene_diag/dialogs/Action/getawaythe_dialog.txt,0068638
get carter,walker,../data/walker2015_scene_diag/dialogs/Action/getcarter_dialog.txt,0067128
"""the ghost and the darkness""",walker,../data/walker2015_scene_diag/dialogs/Action/ghostandthedarknessthe_dialog.txt,
,walker,../data/walker2015_scene_diag/dialogs/Action/ghostbusters2_dialog.txt,
ghost rider,walker,../data/walker2015_scene_diag/dialogs/Action/ghostrider_dialog.txt,
"""ghost ship""",walker,../data/walker2015_scene_diag/dialogs/Action/ghostship_dialog.txt,
gladiator,walker,../data/walker2015_scene_diag/dialogs/Action/gladiator_dialog.txt,0172495
godzilla,walker,../data/walker2015_scene_diag/dialogs/Action/godzilla_dialog.txt,0831387
gone in 60 seconds,walker,../data/walker2015_scene_diag/dialogs/Action/gonein60seconds_dialog.txt,0187078
hackers,walker,../data/walker2015_scene_diag/dialogs/Action/hackers_dialog.txt,0113243
hanna,walker,../data/walker2015_scene_diag/dialogs/Action/hanna_dialog.txt,0993842
"""hard rain""",walker,../data/walker2015_scene_diag/dialogs/Action/hardrain_dialog.txt,0120696
hard to kill,walker,../data/walker2015_scene_diag/dialogs/Action/hardtokill_dialog.txt,0099739
heat,walker,../data/walker2015_scene_diag/dialogs/Action/heat_dialog.txt,0113277
,walker,../data/walker2015_scene_diag/dialogs/Action/heavymetal_dialog.txt,
"""hellboy""",walker,../data/walker2015_scene_diag/dialogs/Action/hellboy_dialog.txt,0167190
highlander,walker,../data/walker2015_scene_diag/dialogs/Action/highlander_dialog.txt,
hostage,walker,../data/walker2015_scene_diag/dialogs/Action/hostage_dialog.txt,3242480
how to train your dragon 2,walker,../data/walker2015_scene_diag/dialogs/Action/howtotrainyourdragon2_dialog.txt,1646971
hudson hawk,walker,../data/walker2015_scene_diag/dialogs/Action/hudsonhawk_dialog.txt,0102070
the hunt for red october,walker,../data/walker2015_scene_diag/dialogs/Action/huntforredoctoberthe_dialog.txt,0099810
,walker,../data/walker2015_scene_diag/dialogs/Action/iamnumberfour_dialog.txt,
inception,walker,../data/walker2015_scene_diag/dialogs/Action/inception_dialog.txt,1375666
independence day,walker,../data/walker2015_scene_diag/dialogs/Action/independenceday_dialog.txt,0116629
