Title,Source,File_path,IMDb_id
pulp fiction,agarwal,./data/agarwal2015_screenplays/fail/51e2fe98144cce5b901a95bc_Pulp_Fiction.txt,0110912
reindeer games,agarwal,./data/agarwal2015_screenplays/fail/51e2fe98144cce5b901a95c3_Reindeer_Games.txt,0184858
saving private ryan,agarwal,./data/agarwal2015_screenplays/fail/51e2fe98144cce5b901a95c8_Saving_Private_Ryan.txt,
scary movie 2,agarwal,./data/agarwal2015_screenplays/fail/51e2fe98144cce5b901a95c9_Scary_Movie_2.txt,0257106
seven,agarwal,./data/agarwal2015_screenplays/fail/51e2fe98144cce5b901a95cf_Seven.txt,0114369
shakespeare in love,agarwal,./data/agarwal2015_screenplays/fail/51e2fe98144cce5b901a95d2_Shakespeare_in_Love.txt,0138097
sideways,agarwal,./data/agarwal2015_screenplays/fail/51e2fe98144cce5b901a95d4_Sideways.txt,0375063
silverado,agarwal,./data/agarwal2015_screenplays/fail/51e2fe98144cce5b901a95d8_Silverado.txt,0090022
slumdog millionaire,agarwal,./data/agarwal2015_screenplays/fail/51e2fe98144cce5b901a95dc_Slumdog_Millionaire.txt,
so i married an axe murderer,agarwal,./data/agarwal2015_screenplays/fail/51e2fe98144cce5b901a95df_So_I_Married_an_Axe_Murderer.txt,0108174
state and main,agarwal,./data/agarwal2015_screenplays/fail/51e2fe98144cce5b901a95eb_State_and_Main.txt,0120202
taxi driver,agarwal,./data/agarwal2015_screenplays/fail/51e2fe98144cce5b901a95f2_Taxi_Driver.txt,0075314
terminator 2  judgment day,agarwal,./data/agarwal2015_screenplays/fail/51e2fe98144cce5b901a95f4_Terminator_2__Judgment_Day.txt,0103064
the thing,agarwal,./data/agarwal2015_screenplays/fail/51e2fe98144cce5b901a95f7_The_Thing.txt,0084787
true believer,agarwal,./data/agarwal2015_screenplays/fail/51e2fe98144cce5b901a95fd_True_Believer.txt,0098524
very bad things,agarwal,./data/agarwal2015_screenplays/fail/51e2fe98144cce5b901a9605_Very_Bad_Things.txt,0124198
watchmen,agarwal,./data/agarwal2015_screenplays/fail/51e2fe98144cce5b901a9607_Watchmen.txt,
young frankenstein,agarwal,./data/agarwal2015_screenplays/fail/51e2fe98144cce5b901a9615_Young_Frankenstein.txt,0072431
a clockwork orange,agarwal,./data/agarwal2015_screenplays/fail/51e2fe98144cce5b901a9623_A_Clockwork_Orange.txt,
anna karenina,agarwal,./data/agarwal2015_screenplays/fail/51e301b71f7f8ee49901b09e_Anna_Karenina.txt,1781769
argo,agarwal,./data/agarwal2015_screenplays/fail/51e301b71f7f8ee49901b0a1_Argo.txt,1024648
the dark knight rises,agarwal,./data/agarwal2015_screenplays/fail/51e301b71f7f8ee49901b0c3_The_Dark_Knight_Rises.txt,1345836
flight,agarwal,./data/agarwal2015_screenplays/fail/51e301b71f7f8ee49901b0d5_Flight.txt,1907668
les mis rables,agarwal,./data/agarwal2015_screenplays/fail/51e301b71f7f8ee49901b103_Les_Mis_rables.txt,
lincoln,agarwal,./data/agarwal2015_screenplays/fail/51e301b71f7f8ee49901b105_Lincoln.txt,
looper,agarwal,./data/agarwal2015_screenplays/fail/51e301b71f7f8ee49901b106_Looper.txt,
moonrise kingdom,agarwal,./data/agarwal2015_screenplays/fail/51e301b71f7f8ee49901b113_Moonrise_Kingdom.txt,1748122
prometheus,agarwal,./data/agarwal2015_screenplays/fail/51e301b71f7f8ee49901b12b_Prometheus.txt,1446714
silver linings playbook,agarwal,./data/agarwal2015_screenplays/fail/51e301b71f7f8ee49901b143_Silver_Linings_Playbook.txt,1045658
snow white and the huntsman,agarwal,./data/agarwal2015_screenplays/fail/51e301b71f7f8ee49901b14b_Snow_White_and_the_Huntsman.txt,1735898
ted,agarwal,./data/agarwal2015_screenplays/fail/51e301b71f7f8ee49901b158_Ted.txt,1637725
the adjustment bureau,agarwal,./data/agarwal2015_screenplays/fail/51e301b81f7f8ee49901b17b_The_Adjustment_Bureau.txt,1385826
the best exotic marigold hotel,agarwal,./data/agarwal2015_screenplays/fail/51e301b81f7f8ee49901b195_The_Best_Exotic_Marigold_Hotel.txt,1412386
bridesmaids,agarwal,./data/agarwal2015_screenplays/fail/51e301b81f7f8ee49901b19b_Bridesmaids.txt,
cars 2,agarwal,./data/agarwal2015_screenplays/fail/51e301b81f7f8ee49901b1a2_Cars_2.txt,1216475
cedar rapids,agarwal,./data/agarwal2015_screenplays/fail/51e301b81f7f8ee49901b1a4_Cedar_Rapids.txt,1477837
colombiana,agarwal,./data/agarwal2015_screenplays/fail/51e301b81f7f8ee49901b1a8_Colombiana.txt,1657507
